Search_method Problem Max_evals Num_restarts Run Score
HCR_penalty knapPI_13_20_1000_4 10000 1 25 890
HCR_penalty knapPI_13_20_1000_4 10000 1 26 889
HCR_penalty knapPI_13_20_1000_4 10000 1 27 889
HCR_penalty knapPI_13_20_1000_4 10000 1 28 889
HCR_penalty knapPI_13_20_1000_4 10000 1 29 907
HCR_penalty knapPI_16_20_1000_4 10000 1 0 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 1 2557
HCR_penalty knapPI_16_20_1000_4 10000 1 2 2557
HCR_penalty knapPI_16_20_1000_4 10000 1 3 2597
HCR_penalty knapPI_16_20_1000_4 10000 1 4 2593
HCR_penalty knapPI_16_20_1000_4 10000 1 5 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 6 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 7 2651
HCR_penalty knapPI_16_20_1000_4 10000 1 8 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 9 2538
HCR_penalty knapPI_16_20_1000_4 10000 1 10 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 11 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 12 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 13 2557
HCR_penalty knapPI_16_20_1000_4 10000 1 14 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 15 2593
HCR_penalty knapPI_16_20_1000_4 10000 1 16 2864
HCR_penalty knapPI_16_20_1000_4 10000 1 17 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 18 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 19 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 20 2593
HCR_penalty knapPI_16_20_1000_4 10000 1 21 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 22 2593
HCR_penalty knapPI_16_20_1000_4 10000 1 23 2593
HCR_penalty knapPI_16_20_1000_4 10000 1 24 2893
HCR_penalty knapPI_16_20_1000_4 10000 1 25 2557
HCR_penalty knapPI_16_20_1000_4 10000 1 26 2557
HCR_penalty knapPI_16_20_1000_4 10000 1 27 2557
HCR_penalty knapPI_16_20_1000_4 10000 1 28 2557
HCR_penalty knapPI_16_20_1000_4 10000 1 29 2893
HCR_penalty knapPI_11_200_1000_4 10000 1 0 5020
HCR_penalty knapPI_11_200_1000_4 10000 1 1 4940
HCR_penalty knapPI_11_200_1000_4 10000 1 2 4620
HCR_penalty knapPI_11_200_1000_4 10000 1 3 4940
HCR_penalty knapPI_11_200_1000_4 10000 1 4 4940
HCR_penalty knapPI_11_200_1000_4 10000 1 5 4860
HCR_penalty knapPI_11_200_1000_4 10000 1 6 4640
HCR_penalty knapPI_11_200_1000_4 10000 1 7 4860
HCR_penalty knapPI_11_200_1000_4 10000 1 8 5180
HCR_penalty knapPI_11_200_1000_4 10000 1 9 4980
HCR_penalty knapPI_11_200_1000_4 10000 1 10 5020
HCR_penalty knapPI_11_200_1000_4 10000 1 11 4820
HCR_penalty knapPI_11_200_1000_4 10000 1 12 4820
HCR_penalty knapPI_11_200_1000_4 10000 1 13 4540
HCR_penalty knapPI_11_200_1000_4 10000 1 14 4700
HCR_penalty knapPI_11_200_1000_4 10000 1 15 4580
HCR_penalty knapPI_11_200_1000_4 10000 1 16 4740
HCR_penalty knapPI_11_200_1000_4 10000 1 17 4820
HCR_penalty knapPI_11_200_1000_4 10000 1 18 5020
HCR_penalty knapPI_11_200_1000_4 10000 1 19 4980
HCR_penalty knapPI_11_200_1000_4 10000 1 20 4700
HCR_penalty knapPI_11_200_1000_4 10000 1 21 4900
HCR_penalty knapPI_11_200_1000_4 10000 1 22 4860
HCR_penalty knapPI_11_200_1000_4 10000 1 23 4780
HCR_penalty knapPI_11_200_1000_4 10000 1 24 4740
HCR_penalty knapPI_11_200_1000_4 10000 1 25 5020
HCR_penalty knapPI_11_200_1000_4 10000 1 26 4620
HCR_penalty knapPI_11_200_1000_4 10000 1 27 5020
HCR_penalty knapPI_11_200_1000_4 10000 1 28 4820
HCR_penalty knapPI_11_200_1000_4 10000 1 29 4860
HCR_penalty knapPI_13_200_1000_4 10000 1 0 3603
HCR_penalty knapPI_13_200_1000_4 10000 1 1 3663
HCR_penalty knapPI_13_200_1000_4 10000 1 2 3637
HCR_penalty knapPI_13_200_1000_4 10000 1 3 3645
HCR_penalty knapPI_13_200_1000_4 10000 1 4 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 5 3663
