Search_method Problem Max_evals Num_restarts Run Score
HCR_penalty knapPI_11_20_1000_4 10000 15 0 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 1 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 2 1440
HCR_penalty knapPI_11_20_1000_4 10000 15 3 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 4 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 5 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 6 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 7 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 8 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 9 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 10 1440
HCR_penalty knapPI_11_20_1000_4 10000 15 11 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 12 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 13 1440
HCR_penalty knapPI_11_20_1000_4 10000 15 14 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 15 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 16 1440
HCR_penalty knapPI_11_20_1000_4 10000 15 17 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 18 1440
HCR_penalty knapPI_11_20_1000_4 10000 15 19 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 20 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 21 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 22 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 23 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 24 1440
HCR_penalty knapPI_11_20_1000_4 10000 15 25 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 26 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 27 1360
HCR_penalty knapPI_11_20_1000_4 10000 15 28 1400
HCR_penalty knapPI_11_20_1000_4 10000 15 29 1400
HCR_penalty knapPI_13_20_1000_4 10000 15 0 907
HCR_penalty knapPI_13_20_1000_4 10000 15 1 907
HCR_penalty knapPI_13_20_1000_4 10000 15 2 907
HCR_penalty knapPI_13_20_1000_4 10000 15 3 890
HCR_penalty knapPI_13_20_1000_4 10000 15 4 907
HCR_penalty knapPI_13_20_1000_4 10000 15 5 907
HCR_penalty knapPI_13_20_1000_4 10000 15 6 907
HCR_penalty knapPI_13_20_1000_4 10000 15 7 907
HCR_penalty knapPI_13_20_1000_4 10000 15 8 907
HCR_penalty knapPI_13_20_1000_4 10000 15 9 907
HCR_penalty knapPI_13_20_1000_4 10000 15 10 907
HCR_penalty knapPI_13_20_1000_4 10000 15 11 890
HCR_penalty knapPI_13_20_1000_4 10000 15 12 907
HCR_penalty knapPI_13_20_1000_4 10000 15 13 907
HCR_penalty knapPI_13_20_1000_4 10000 15 14 907
HCR_penalty knapPI_13_20_1000_4 10000 15 15 907
HCR_penalty knapPI_13_20_1000_4 10000 15 16 907
HCR_penalty knapPI_13_20_1000_4 10000 15 17 907
HCR_penalty knapPI_13_20_1000_4 10000 15 18 907
HCR_penalty knapPI_13_20_1000_4 10000 15 19 907
HCR_penalty knapPI_13_20_1000_4 10000 15 20 907
HCR_penalty knapPI_13_20_1000_4 10000 15 21 907
HCR_penalty knapPI_13_20_1000_4 10000 15 22 907
HCR_penalty knapPI_13_20_1000_4 10000 15 23 907
HCR_penalty knapPI_13_20_1000_4 10000 15 24 907
HCR_penalty knapPI_13_20_1000_4 10000 15 25 889
HCR_penalty knapPI_13_20_1000_4 10000 15 26 907
HCR_penalty knapPI_13_20_1000_4 10000 15 27 907
HCR_penalty knapPI_13_20_1000_4 10000 15 28 907
HCR_penalty knapPI_13_20_1000_4 10000 15 29 907
HCR_penalty knapPI_16_20_1000_4 10000 15 0 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 1 2886
HCR_penalty knapPI_16_20_1000_4 10000 15 2 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 3 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 4 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 5 2586
HCR_penalty knapPI_16_20_1000_4 10000 15 6 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 7 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 8 2597
HCR_penalty knapPI_16_20_1000_4 10000 15 9 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 10 2864
HCR_penalty knapPI_16_20_1000_4 10000 15 11 2593
HCR_penalty knapPI_16_20_1000_4 10000 15 12 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 13 2886
HCR_penalty knapPI_16_20_1000_4 10000 15 14 2651
HCR_penalty knapPI_16_20_1000_4 10000 15 15 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 16 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 17 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 18 2682
HCR_penalty knapPI_16_20_1000_4 10000 15 19 2886
HCR_penalty knapPI_16_20_1000_4 10000 15 20 2893
HCR_penalty knapPI_16_20_1000_4 10000 15 21 2682
HCR_penalty knapPI_16_20_1000_4 10000 15 22 2626
HCR_penalty knapPI_16_20_1000_4 10000 15 23 2633
HCR_penalty knapPI_16_20_1000_4 10000 15 24 2593
HCR_penalty knapPI_16_20_1000_4 10000 15 25 2886
HCR_penalty knapPI_16_20_1000_4 10000 15 26 2731
HCR_penalty knapPI_16_20_1000_4 10000 15 27 2682
HCR_penalty knapPI_16_20_1000_4 10000 15 28 2671
HCR_penalty knapPI_16_20_1000_4 10000 15 29 2886
HCR_penalty knapPI_11_200_1000_4 10000 15 0 4620
HCR_penalty knapPI_11_200_1000_4 10000 15 1 -5322
HCR_penalty knapPI_11_200_1000_4 10000 15 2 -4916
HCR_penalty knapPI_11_200_1000_4 10000 15 3 -5252
HCR_penalty knapPI_11_200_1000_4 10000 15 4 -4573
HCR_penalty knapPI_11_200_1000_4 10000 15 5 -5464
HCR_penalty knapPI_11_200_1000_4 10000 15 6 -6025
HCR_penalty knapPI_11_200_1000_4 10000 15 7 4200
HCR_penalty knapPI_11_200_1000_4 10000 15 8 -6223
HCR_penalty knapPI_11_200_1000_4 10000 15 9 -4845
HCR_penalty knapPI_11_200_1000_4 10000 15 10 4080
HCR_penalty knapPI_11_200_1000_4 10000 15 11 -5471
HCR_penalty knapPI_11_200_1000_4 10000 15 12 -5328
HCR_penalty knapPI_11_200_1000_4 10000 15 13 -6296
HCR_penalty knapPI_11_200_1000_4 10000 15 14 4400
HCR_penalty knapPI_11_200_1000_4 10000 15 15 -5124
HCR_penalty knapPI_11_200_1000_4 10000 15 16 -4773
HCR_penalty knapPI_11_200_1000_4 10000 15 17 -4779
HCR_penalty knapPI_11_200_1000_4 10000 15 18 -5265
HCR_penalty knapPI_11_200_1000_4 10000 15 19 4440
HCR_penalty knapPI_11_200_1000_4 10000 15 20 4480
HCR_penalty knapPI_11_200_1000_4 10000 15 21 -5891
HCR_penalty knapPI_11_200_1000_4 10000 15 22 4380
HCR_penalty knapPI_11_200_1000_4 10000 15 23 4740
HCR_penalty knapPI_11_200_1000_4 10000 15 24 -4988
HCR_penalty knapPI_11_200_1000_4 10000 15 25 4740
HCR_penalty knapPI_11_200_1000_4 10000 15 26 -6357
HCR_penalty knapPI_11_200_1000_4 10000 15 27 -5741
HCR_penalty knapPI_11_200_1000_4 10000 15 28 4740
HCR_penalty knapPI_11_200_1000_4 10000 15 29 -5059
HCR_penalty knapPI_13_200_1000_4 10000 15 0 -3402
HCR_penalty knapPI_13_200_1000_4 10000 15 1 -3855
HCR_penalty knapPI_13_200_1000_4 10000 15 2 3602
HCR_penalty knapPI_13_200_1000_4 10000 15 3 -2940
HCR_penalty knapPI_13_200_1000_4 10000 15 4 -2811
HCR_penalty knapPI_13_200_1000_4 10000 15 5 -3114
HCR_penalty knapPI_13_200_1000_4 10000 15 6 -3570
HCR_penalty knapPI_13_200_1000_4 10000 15 7 -2898
HCR_penalty knapPI_13_200_1000_4 10000 15 8 -3768
HCR_penalty knapPI_13_200_1000_4 10000 15 9 -3423
HCR_penalty knapPI_13_200_1000_4 10000 15 10 -3021
HCR_penalty knapPI_13_200_1000_4 10000 15 11 3566
HCR_penalty knapPI_13_200_1000_4 10000 15 12 -3393
HCR_penalty knapPI_13_200_1000_4 10000 15 13 -2925
HCR_penalty knapPI_13_200_1000_4 10000 15 14 3594
HCR_penalty knapPI_13_200_1000_4 10000 15 15 3584
HCR_penalty knapPI_13_200_1000_4 10000 15 16 -2937
HCR_penalty knapPI_13_200_1000_4 10000 15 17 -3297
