Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 1000 0 1440
hcrr_penalized_score knapPI_11_20_1000_4 1000 1 1280
hcrr_penalized_score knapPI_11_20_1000_4 1000 2 1360
hcrr_penalized_score knapPI_11_20_1000_4 1000 3 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 4 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 5 1280
hcrr_penalized_score knapPI_11_20_1000_4 1000 6 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 7 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 8 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 9 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 10 1240
hcrr_penalized_score knapPI_11_20_1000_4 1000 11 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 12 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 13 1440
hcrr_penalized_score knapPI_11_20_1000_4 1000 14 1280
hcrr_penalized_score knapPI_11_20_1000_4 1000 15 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 16 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 17 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 18 1440
hcrr_penalized_score knapPI_11_20_1000_4 1000 19 1240
hcrr_penalized_score knapPI_13_20_1000_4 1000 0 872
hcrr_penalized_score knapPI_13_20_1000_4 1000 1 890
hcrr_penalized_score knapPI_13_20_1000_4 1000 2 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 3 890
hcrr_penalized_score knapPI_13_20_1000_4 1000 4 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 5 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 6 890
hcrr_penalized_score knapPI_13_20_1000_4 1000 7 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 8 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 9 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 10 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 11 890
hcrr_penalized_score knapPI_13_20_1000_4 1000 12 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 13 889
