Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 1000 0 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 1 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 2 1440
hcrr_penalized_score knapPI_11_20_1000_4 1000 3 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 4 1280
hcrr_penalized_score knapPI_11_20_1000_4 1000 5 1360
hcrr_penalized_score knapPI_11_20_1000_4 1000 6 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 7 1200
hcrr_penalized_score knapPI_11_20_1000_4 1000 8 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 9 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 10 1360
hcrr_penalized_score knapPI_11_20_1000_4 1000 11 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 12 1360
hcrr_penalized_score knapPI_11_20_1000_4 1000 13 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 14 1200
hcrr_penalized_score knapPI_11_20_1000_4 1000 15 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 16 1260
hcrr_penalized_score knapPI_11_20_1000_4 1000 17 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 18 1440
hcrr_penalized_score knapPI_11_20_1000_4 1000 19 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 20 1440
hcrr_penalized_score knapPI_11_20_1000_4 1000 21 1280
hcrr_penalized_score knapPI_11_20_1000_4 1000 22 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 23 1360
hcrr_penalized_score knapPI_11_20_1000_4 1000 24 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 25 1360
hcrr_penalized_score knapPI_11_20_1000_4 1000 26 1440
hcrr_penalized_score knapPI_11_20_1000_4 1000 27 1280
hcrr_penalized_score knapPI_11_20_1000_4 1000 28 1320
hcrr_penalized_score knapPI_11_20_1000_4 1000 29 1320
hcrr_penalized_score knapPI_13_20_1000_4 1000 0 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 1 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 2 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 3 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 4 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 5 890
hcrr_penalized_score knapPI_13_20_1000_4 1000 6 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 7 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 8 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 9 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 10 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 11 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 12 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 13 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 14 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 15 881
hcrr_penalized_score knapPI_13_20_1000_4 1000 16 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 17 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 18 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 19 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 20 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 21 890
hcrr_penalized_score knapPI_13_20_1000_4 1000 22 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 23 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 24 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 25 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 26 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 27 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 28 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 29 890
hcrr_penalized_score knapPI_16_20_1000_4 1000 0 2886
hcrr_penalized_score knapPI_16_20_1000_4 1000 1 2864
hcrr_penalized_score knapPI_16_20_1000_4 1000 2 2597
hcrr_penalized_score knapPI_16_20_1000_4 1000 3 2675
hcrr_penalized_score knapPI_16_20_1000_4 1000 4 2550
hcrr_penalized_score knapPI_16_20_1000_4 1000 5 2597
hcrr_penalized_score knapPI_16_20_1000_4 1000 6 2575
hcrr_penalized_score knapPI_16_20_1000_4 1000 7 2593
hcrr_penalized_score knapPI_16_20_1000_4 1000 8 2893
hcrr_penalized_score knapPI_16_20_1000_4 1000 9 2557
hcrr_penalized_score knapPI_16_20_1000_4 1000 10 2893
hcrr_penalized_score knapPI_16_20_1000_4 1000 11 2438
hcrr_penalized_score knapPI_16_20_1000_4 1000 12 2633
hcrr_penalized_score knapPI_16_20_1000_4 1000 13 2626
hcrr_penalized_score knapPI_16_20_1000_4 1000 14 2864
hcrr_penalized_score knapPI_16_20_1000_4 1000 15 2550
hcrr_penalized_score knapPI_16_20_1000_4 1000 16 2893
hcrr_penalized_score knapPI_16_20_1000_4 1000 17 2593
hcrr_penalized_score knapPI_16_20_1000_4 1000 18 2582
hcrr_penalized_score knapPI_16_20_1000_4 1000 19 2651
hcrr_penalized_score knapPI_16_20_1000_4 1000 20 2538
