Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 50 0 -1661
hcrr_penalized_score knapPI_11_20_1000_4 50 1 -2143
hcrr_penalized_score knapPI_11_20_1000_4 50 2 120
hcrr_penalized_score knapPI_11_20_1000_4 50 3 -2209
hcrr_penalized_score knapPI_11_20_1000_4 50 4 -2561
hcrr_penalized_score knapPI_11_20_1000_4 50 5 -2003
hcrr_penalized_score knapPI_11_20_1000_4 50 6 -2910
hcrr_penalized_score knapPI_11_20_1000_4 50 7 -1521
hcrr_penalized_score knapPI_11_20_1000_4 50 8 -1869
hcrr_penalized_score knapPI_11_20_1000_4 50 9 -1592
hcrr_penalized_score knapPI_11_20_1000_4 50 10 -1595
hcrr_penalized_score knapPI_11_20_1000_4 50 11 -2356
hcrr_penalized_score knapPI_11_20_1000_4 50 12 -2152
hcrr_penalized_score knapPI_11_20_1000_4 50 13 -2287
hcrr_penalized_score knapPI_11_20_1000_4 50 14 1200
hcrr_penalized_score knapPI_11_20_1000_4 50 15 480
hcrr_penalized_score knapPI_11_20_1000_4 50 16 -2767
hcrr_penalized_score knapPI_11_20_1000_4 50 17 -2422
hcrr_penalized_score knapPI_11_20_1000_4 50 18 -1588
hcrr_penalized_score knapPI_11_20_1000_4 50 19 -3115
hcrr_penalized_score knapPI_11_20_1000_4 50 20 -1795
hcrr_penalized_score knapPI_11_20_1000_4 50 21 -1667
hcrr_penalized_score knapPI_11_20_1000_4 50 22 -3320
hcrr_penalized_score knapPI_11_20_1000_4 50 23 -1725
hcrr_penalized_score knapPI_11_20_1000_4 50 24 -1937
hcrr_penalized_score knapPI_11_20_1000_4 50 25 -1802
hcrr_penalized_score knapPI_11_20_1000_4 50 26 -2149
hcrr_penalized_score knapPI_11_20_1000_4 50 27 -1867
hcrr_penalized_score knapPI_11_20_1000_4 50 28 1100
hcrr_penalized_score knapPI_11_20_1000_4 50 29 -2563
hcrr_penalized_score knapPI_13_20_1000_4 50 0 -1530
hcrr_penalized_score knapPI_13_20_1000_4 50 1 -2085
hcrr_penalized_score knapPI_13_20_1000_4 50 2 -1761
hcrr_penalized_score knapPI_13_20_1000_4 50 3 -2514
hcrr_penalized_score knapPI_13_20_1000_4 50 4 -1506
hcrr_penalized_score knapPI_13_20_1000_4 50 5 -1092
hcrr_penalized_score knapPI_13_20_1000_4 50 6 -1719
hcrr_penalized_score knapPI_13_20_1000_4 50 7 -1740
hcrr_penalized_score knapPI_13_20_1000_4 50 8 -1410
hcrr_penalized_score knapPI_13_20_1000_4 50 9 -1830
hcrr_penalized_score knapPI_13_20_1000_4 50 10 -2034
hcrr_penalized_score knapPI_13_20_1000_4 50 11 -1479
hcrr_penalized_score knapPI_13_20_1000_4 50 12 -1437
hcrr_penalized_score knapPI_13_20_1000_4 50 13 -1902
hcrr_penalized_score knapPI_13_20_1000_4 50 14 -1932
hcrr_penalized_score knapPI_13_20_1000_4 50 15 -1800
hcrr_penalized_score knapPI_13_20_1000_4 50 16 -1986
hcrr_penalized_score knapPI_13_20_1000_4 50 17 -2409
hcrr_penalized_score knapPI_13_20_1000_4 50 18 -1719
hcrr_penalized_score knapPI_13_20_1000_4 50 19 -2526
hcrr_penalized_score knapPI_13_20_1000_4 50 20 -1953
hcrr_penalized_score knapPI_13_20_1000_4 50 21 -1563
hcrr_penalized_score knapPI_13_20_1000_4 50 22 -1476
hcrr_penalized_score knapPI_13_20_1000_4 50 23 -1977
hcrr_penalized_score knapPI_13_20_1000_4 50 24 -2103
hcrr_penalized_score knapPI_13_20_1000_4 50 25 -1737
hcrr_penalized_score knapPI_13_20_1000_4 50 26 -1503
hcrr_penalized_score knapPI_13_20_1000_4 50 27 -1803
hcrr_penalized_score knapPI_13_20_1000_4 50 28 -828
hcrr_penalized_score knapPI_13_20_1000_4 50 29 -1581
