Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 50 0 -1523
hcrr_penalized_score knapPI_11_20_1000_4 50 1 -1870
hcrr_penalized_score knapPI_11_20_1000_4 50 2 -1319
hcrr_penalized_score knapPI_11_20_1000_4 50 3 -1522
hcrr_penalized_score knapPI_11_20_1000_4 50 4 -1864
hcrr_penalized_score knapPI_11_20_1000_4 50 5 1080
hcrr_penalized_score knapPI_11_20_1000_4 50 6 -1940
hcrr_penalized_score knapPI_11_20_1000_4 50 7 -2691
hcrr_penalized_score knapPI_11_20_1000_4 50 8 -1380
hcrr_penalized_score knapPI_11_20_1000_4 50 9 -1658
hcrr_penalized_score knapPI_11_20_1000_4 50 10 -1449
hcrr_penalized_score knapPI_11_20_1000_4 50 11 -1386
hcrr_penalized_score knapPI_11_20_1000_4 50 12 -3596
hcrr_penalized_score knapPI_11_20_1000_4 50 13 -1803
hcrr_penalized_score knapPI_11_20_1000_4 50 14 -2494
hcrr_penalized_score knapPI_13_20_1000_4 50 0 -1299
hcrr_penalized_score knapPI_13_20_1000_4 50 1 -1290
hcrr_penalized_score knapPI_13_20_1000_4 50 2 -2562
hcrr_penalized_score knapPI_13_20_1000_4 50 3 -2016
hcrr_penalized_score knapPI_13_20_1000_4 50 4 -1116
hcrr_penalized_score knapPI_13_20_1000_4 50 5 -1935
hcrr_penalized_score knapPI_13_20_1000_4 50 6 -1710
hcrr_penalized_score knapPI_13_20_1000_4 50 7 -1209
hcrr_penalized_score knapPI_13_20_1000_4 50 8 -1710
hcrr_penalized_score knapPI_13_20_1000_4 50 9 -1779
hcrr_penalized_score knapPI_13_20_1000_4 50 10 -1668
hcrr_penalized_score knapPI_13_20_1000_4 50 11 -1497
hcrr_penalized_score knapPI_13_20_1000_4 50 12 -1659
hcrr_penalized_score knapPI_13_20_1000_4 50 13 -1296
hcrr_penalized_score knapPI_13_20_1000_4 50 14 -2259
hcrr_penalized_score knapPI_16_20_1000_4 50 0 -2500
hcrr_penalized_score knapPI_16_20_1000_4 50 1 -1758
hcrr_penalized_score knapPI_16_20_1000_4 50 2 -2076
hcrr_penalized_score knapPI_16_20_1000_4 50 3 -2523
hcrr_penalized_score knapPI_16_20_1000_4 50 4 -3192
hcrr_penalized_score knapPI_16_20_1000_4 50 5 -2302
hcrr_penalized_score knapPI_16_20_1000_4 50 6 -2917
hcrr_penalized_score knapPI_16_20_1000_4 50 7 -3112
hcrr_penalized_score knapPI_16_20_1000_4 50 8 -3321
hcrr_penalized_score knapPI_16_20_1000_4 50 9 -2055
hcrr_penalized_score knapPI_16_20_1000_4 50 10 -1618
hcrr_penalized_score knapPI_16_20_1000_4 50 11 -1847
hcrr_penalized_score knapPI_16_20_1000_4 50 12 -2367
hcrr_penalized_score knapPI_16_20_1000_4 50 13 -1302
hcrr_penalized_score knapPI_16_20_1000_4 50 14 -1455
hcrr_penalized_score knapPI_11_200_1000_4 50 0 -47494
hcrr_penalized_score knapPI_11_200_1000_4 50 1 -48080
hcrr_penalized_score knapPI_11_200_1000_4 50 2 -49621
hcrr_penalized_score knapPI_11_200_1000_4 50 3 -49140
hcrr_penalized_score knapPI_11_200_1000_4 50 4 -41881
hcrr_penalized_score knapPI_11_200_1000_4 50 5 -50618
hcrr_penalized_score knapPI_11_200_1000_4 50 6 -47154
hcrr_penalized_score knapPI_11_200_1000_4 50 7 -49550
hcrr_penalized_score knapPI_11_200_1000_4 50 8 -51355
hcrr_penalized_score knapPI_11_200_1000_4 50 9 -47214
hcrr_penalized_score knapPI_11_200_1000_4 50 10 -48148
hcrr_penalized_score knapPI_11_200_1000_4 50 11 -48197
hcrr_penalized_score knapPI_11_200_1000_4 50 12 -52138
hcrr_penalized_score knapPI_11_200_1000_4 50 13 -46512
hcrr_penalized_score knapPI_11_200_1000_4 50 14 -51032
hcrr_penalized_score knapPI_13_200_1000_4 50 0 -30735
hcrr_penalized_score knapPI_13_200_1000_4 50 1 -29607
hcrr_penalized_score knapPI_13_200_1000_4 50 2 -29373
hcrr_penalized_score knapPI_13_200_1000_4 50 3 -30189
hcrr_penalized_score knapPI_13_200_1000_4 50 4 -30495
hcrr_penalized_score knapPI_13_200_1000_4 50 5 -29943
hcrr_penalized_score knapPI_13_200_1000_4 50 6 -30177
hcrr_penalized_score knapPI_13_200_1000_4 50 7 -30507
hcrr_penalized_score knapPI_13_200_1000_4 50 8 -25305
hcrr_penalized_score knapPI_13_200_1000_4 50 9 -29976
hcrr_penalized_score knapPI_13_200_1000_4 50 10 -32187
hcrr_penalized_score knapPI_13_200_1000_4 50 11 -31434
hcrr_penalized_score knapPI_13_200_1000_4 50 12 -31611
hcrr_penalized_score knapPI_13_200_1000_4 50 13 -31581
