Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 50 0 -1803
hcrr_penalized_score knapPI_11_20_1000_4 50 1 1060
hcrr_penalized_score knapPI_11_20_1000_4 50 2 -1725
hcrr_penalized_score knapPI_11_20_1000_4 50 3 1300
hcrr_penalized_score knapPI_11_20_1000_4 50 4 -1802
hcrr_penalized_score knapPI_11_20_1000_4 50 5 1400
hcrr_penalized_score knapPI_11_20_1000_4 50 6 -1941
hcrr_penalized_score knapPI_11_20_1000_4 50 7 -2079
hcrr_penalized_score knapPI_11_20_1000_4 50 8 -2288
hcrr_penalized_score knapPI_11_20_1000_4 50 9 960
hcrr_penalized_score knapPI_11_20_1000_4 50 10 -1657
hcrr_penalized_score knapPI_11_20_1000_4 50 11 960
hcrr_penalized_score knapPI_11_20_1000_4 50 12 -2700
hcrr_penalized_score knapPI_11_20_1000_4 50 13 1140
hcrr_penalized_score knapPI_11_20_1000_4 50 14 1120
hcrr_penalized_score knapPI_13_20_1000_4 50 0 -1371
hcrr_penalized_score knapPI_13_20_1000_4 50 1 -1716
hcrr_penalized_score knapPI_13_20_1000_4 50 2 -2307
hcrr_penalized_score knapPI_13_20_1000_4 50 3 -1746
hcrr_penalized_score knapPI_13_20_1000_4 50 4 -1905
hcrr_penalized_score knapPI_13_20_1000_4 50 5 -1416
hcrr_penalized_score knapPI_13_20_1000_4 50 6 -1608
hcrr_penalized_score knapPI_13_20_1000_4 50 7 -1689
hcrr_penalized_score knapPI_13_20_1000_4 50 8 -1632
hcrr_penalized_score knapPI_13_20_1000_4 50 9 -1695
hcrr_penalized_score knapPI_13_20_1000_4 50 10 -1968
hcrr_penalized_score knapPI_13_20_1000_4 50 11 -1452
hcrr_penalized_score knapPI_13_20_1000_4 50 12 -1134
hcrr_penalized_score knapPI_13_20_1000_4 50 13 -1608
hcrr_penalized_score knapPI_13_20_1000_4 50 14 -2472
hcrr_penalized_score knapPI_16_20_1000_4 50 0 -1717
hcrr_penalized_score knapPI_16_20_1000_4 50 1 -2331
